iter	Passed	Remaining
0	0	22
1	0	21
2	0	20
3	0	21
4	1	22
5	1	22
6	1	23
7	1	21
8	2	21
9	2	21
10	2	20
11	2	19
12	2	20
13	3	20
14	3	19
15	3	19
16	3	18
17	4	19
18	4	18
19	4	18
20	5	19
21	5	19
22	5	18
23	5	18
24	6	18
25	6	18
26	6	17
27	6	17
28	7	17
29	7	16
30	7	16
31	7	16
32	7	15
33	7	15
34	8	15
35	8	14
36	8	14
37	8	14
38	8	13
39	9	13
40	9	13
41	9	12
42	9	12
43	9	12
44	9	12
45	9	11
46	10	11
47	10	11
48	10	11
49	10	10
50	10	10
51	11	10
52	11	9
53	11	9
54	11	9
55	11	9
56	12	9
57	12	8
58	12	8
59	12	8
60	12	8
61	13	7
62	13	7
63	13	7
64	13	7
65	13	7
66	14	6
67	14	6
68	14	6
69	14	6
70	14	6
71	15	5
72	15	5
73	15	5
74	15	5
75	15	4
76	15	4
77	16	4
78	16	4
79	16	4
80	16	3
81	16	3
82	17	3
83	17	3
84	17	3
85	17	2
86	17	2
87	17	2
88	18	2
89	18	2
90	18	1
91	18	1
92	19	1
93	19	1
94	19	1
95	19	0
96	19	0
97	19	0
98	20	0
99	20	0
