iter	Passed	Remaining
0	0	21
1	0	20
2	0	24
3	1	24
4	1	24
5	1	23
6	1	23
7	1	22
8	2	22
9	2	22
10	2	21
11	2	21
12	3	20
13	3	20
14	3	20
15	3	20
16	4	20
17	4	20
18	4	20
19	5	20
20	5	19
21	5	19
22	5	18
23	5	18
24	6	18
25	6	18
26	6	17
27	6	17
28	7	17
29	7	17
30	7	16
31	7	16
32	7	15
33	7	15
34	8	15
35	8	14
36	8	14
37	8	14
38	8	14
39	9	13
40	9	13
41	9	13
42	9	12
43	9	12
44	10	12
45	10	11
46	10	11
47	10	11
48	10	11
49	10	10
50	11	10
51	11	10
52	11	10
53	11	9
54	11	9
55	12	9
56	12	9
57	12	8
58	12	8
59	12	8
60	12	8
61	13	8
62	13	7
63	13	7
64	13	7
65	13	7
66	14	6
67	14	6
68	14	6
69	14	6
70	15	6
71	15	5
72	15	5
73	15	5
74	15	5
75	15	5
76	16	4
77	16	4
78	16	4
79	16	4
80	16	3
81	17	3
82	17	3
83	17	3
84	17	3
85	17	2
86	18	2
87	18	2
88	18	2
89	18	2
90	18	1
91	19	1
92	19	1
93	19	1
94	19	1
95	19	0
96	20	0
97	20	0
98	20	0
99	20	0
